Res R number,Reservoir name,Reservoir risk designation
RES/R/1128344,Loch Auchintaple,High
RES/R/1127852,Loch Awe,High
RES/R/1128345,Loch Ba,Medium
RES/R/1128039,Loch Bad An Sgalaig Reservoir,High
RES/R/1128040,Loch Bad Na Goibre,High
RES/R/1128346,Loch Badanloch,High
RES/R/1128347,Loch Barvas,Low
RES/R/1141662,Loch Bealach Culaidh,High
RES/R/1128348,Loch Bearnach,High
RES/R/1128041,Loch Beinn Deirg,High
RES/R/1127853,Loch Beinn Uraraidh,High
RES/R/1128181,Loch Benachally,High
RES/R/1128043,Loch Bhraomisaig,Low
RES/R/1128421,Loch Blain,High
RES/R/1128237,Loch Bradan,High
RES/R/1128042,Loch Braigh Horrisdale,Medium
RES/R/1128472,Loch Braigh Na H'Imrich,Medium
RES/R/1128273,Loch Breachlaich,High
RES/R/1128044,Loch Brickigoe,Medium
RES/R/1128349,Loch Brinnival,Medium
RES/R/1128350,Loch Broom,High
RES/R/1128045,Loch Bruicheach,High
RES/R/1128351,Loch Buidhe,High
RES/R/1128476,Loch Buidhe Reservoir,High
RES/R/1128352,Loch Caladail,High
RES/R/1128046,Loch Calder,High
RES/R/1128422,Loch Cam,High
RES/R/1128353,Loch Camrie,High
RES/R/1127854,Loch Chaorunn,High
RES/R/1127899,Loch Chliostair,High
RES/R/1128354,Loch Ciaran,High
RES/R/1127855,Loch Clachaig,High
RES/R/1128292,Loch Cochno,High
RES/R/1128047,Loch Coire Nan Arr,High
RES/R/1128301,Loch Cote,High
RES/R/1128274,Loch Coulter,High
RES/R/1127971,Loch Craig,High
RES/R/1128048,Loch Craisg,High
RES/R/1128182,Loch Crannach,High
RES/R/1128049,Loch Crocach,High
RES/R/1128051,Loch Cuaich,High
RES/R/1128355,Loch Derculich,High
RES/R/1128052,Loch Dhughaill,Medium
RES/R/1128053,Loch Dochfour,High
RES/R/1128054,Loch Doire Nan Sgiath,Low
RES/R/1127952,Loch Doon,High
RES/R/1128055,Loch Droma Reservoir,High
RES/R/1128275,Loch Drunkie,High
RES/R/1128056,Loch Dubh,High
RES/R/1127936,Loch Dungeon,High
RES/R/1128057,Loch Duntelchaig,High
RES/R/1128479,Loch Dusary,High
RES/R/1128356,Loch Ealaidh,Medium
RES/R/1128183,Loch Earn Reservoir,High
RES/R/1127856,Loch Eck,High
RES/R/1128184,Loch Eigheach,High
RES/R/1128423,Loch Eilde Mor,Low
RES/R/1127920,Loch Eilean Iain,Low
RES/R/1128357,Loch Eilt,High
RES/R/1127900,Loch Eishken,Medium
RES/R/1127982,Loch Ellrig,Low
RES/R/1128174,Loch Ericht,High
RES/R/1128358,Loch Ettrick,High
